slices	iterations	RMSE	overhead	subproblem time	projection time	visible
  1.00000000	 10.00000000	  0.25031033	  0.08700000	 22.11500000	  0.32500000	  1.00000000
  1.00000000	 20.00000000	  0.07554368	  0.01800000	 37.97000000	  0.06400000	  1.00000000
  1.00000000	 30.00000000	  0.05689484	  0.02100000	 63.19500000	  0.06900000	  1.00000000
  1.00000000	 40.00000000	  0.04675811	  0.02100000	 86.66600000	  0.09200000	  1.00000000
  1.00000000	 50.00000000	  0.03908773	  0.01800000	116.84500000	  0.10900000	  1.00000000
  1.00000000	 60.00000000	  0.03216041	  0.02200000	152.10900000	  0.30200000	  1.00000000
  1.00000000	 70.00000000	  0.02576830	  0.01700000	192.88700000	  0.15800000	  1.00000000
  1.00000000	 80.00000000	  0.01998393	  0.01700000	240.49700000	  0.36500000	  1.00000000
  1.00000000	 90.00000000	  0.01494952	  0.01800000	295.31800000	  0.37500000	  1.00000000
