slices	iterations	RMSE	overhead	subproblem time	projection time	visible
  1.00000000	 10.00000000	  0.19407827	  0.10800000	 24.44000000	  0.23100000	  1.00000000
  1.00000000	 20.00000000	  0.06902178	  0.03500000	 47.65700000	  0.05300000	  1.00000000
  1.00000000	 30.00000000	  0.06087681	  0.03500000	 81.31200000	  0.09100000	  1.00000000
  1.00000000	 40.00000000	  0.05690632	  0.02800000	113.43600000	  0.12400000	  1.00000000
  1.00000000	 50.00000000	  0.05325409	  0.03300000	151.09200000	  0.11500000	  1.00000000
  1.00000000	 60.00000000	  0.04967489	  0.02700000	196.32500000	  0.13100000	  1.00000000
  1.00000000	 70.00000000	  0.04609969	  0.02500000	245.68900000	  0.34400000	  1.00000000
  1.00000000	 80.00000000	  0.04250719	  0.02600000	303.04900000	  0.18200000	  1.00000000
  1.00000000	 90.00000000	  0.03894116	  0.02500000	371.32300000	  0.23100000	  1.00000000
  1.00000000	100.00000000	  0.03542293	  0.03600000	448.37100000	  0.41700000	  1.00000000
