slices	iterations	RMSE	overhead	subproblem time	projection time	visible
  1.00000000	 10.00000000	  0.19883978	  0.10700000	 26.49200000	  0.26000000	  1.00000000
  1.00000000	 20.00000000	  0.06941576	  0.03200000	 47.36700000	  0.05300000	  1.00000000
  1.00000000	 30.00000000	  0.06109785	  0.03200000	 79.15800000	  0.09400000	  1.00000000
  1.00000000	 40.00000000	  0.05701519	  0.02600000	113.97000000	  0.08700000	  1.00000000
  1.00000000	 50.00000000	  0.05333334	  0.03200000	151.66400000	  0.11100000	  1.00000000
  1.00000000	 60.00000000	  0.04968410	  0.02800000	196.26800000	  0.13100000	  1.00000000
  1.00000000	 70.00000000	  0.04605525	  0.02600000	246.92000000	  0.34000000	  1.00000000
  1.00000000	 80.00000000	  0.04245824	  0.02600000	305.70900000	  0.18000000	  1.00000000
  1.00000000	 90.00000000	  0.03886912	  0.02500000	373.86400000	  0.21500000	  1.00000000
  1.00000000	100.00000000	  0.03540325	  0.03600000	446.04900000	  0.40500000	  1.00000000
