(1.0, 0.87066)	(0.9638940598333577, 0.954264)	(1.0, 0.94666)	(0.9295414837020018, 0.99176)	(1.0, 0.96563)	(1.0, 0.768356)	(0.9121789003266395, 0.9836566666666666)	(1.0, 0.842925)	(1.0, 0.7298471428571428)	(0.9784016048735553, 0.89486208994709)
(1.0, 0.86819)	(0.9748691351636981, 0.93428)	(1.0, 0.9211066666666666)	(0.9312260531225782, 0.963857142857143)	(1.0, 0.96393)	(1.0, 0.76066)	(0.904959844488066, 0.9739466666666667)	(1.0, 0.837655)	(1.0, 0.7303342857142857)	(0.9790061147527046, 0.8837733068783069)
(1.0, 0.8597499999999999)	(0.967369084696521, 0.967424)	(1.0, 0.9206733333333333)	(0.9318490068152919, 0.9727771428571428)	(1.0, 0.94473)	(1.0073722876394902, 0.7566)	(0.9181820464706562, 0.9646666666666666)	(1.0, 0.8120350000000001)	(1.0, 0.7178714285714286)	(0.9805302695135509, 0.8796141746031746)
(1.0, 0.8414100000000001)	(1.0, 0.934832)	(1.0, 0.9250333333333333)	(1.0, 0.9529485714285714)	(1.0, 0.94389)	(1.002057154772496, 0.7540800000000001)	(1.0, 0.95765)	(1.0, 0.8107325)	(1.0, 0.7186085714285715)	(1.0002285727524995, 0.871020552910053)
(0.9902575330133737, 0.9930599999999999)	(0.9650782409788753, 1.0805440000000002)	(0.9579777216429327, 1.0671666666666666)	(0.9314020032318788, 1.1226342857142857)	(0.9706126015977151, 1.11895)	(1.0, 0.888224)	(0.9132635423382712, 1.1331633333333333)	(1.0, 0.9575425)	(1.0, 0.8446057142857144)	(0.9698435158670051, 1.0228767222222224)
