(1.0, 0.88645)	(1.0449730304876381, 0.903848)	(1.0, 0.9122866666666666)	(1.0228454243497385, 1.0006285714285714)	(1.0, 0.942025)	(1.0023473179517375, 0.758148)	(1.0388880184290763, 1.00519)	(1.0, 0.8147575)	(1.0743032024479857, 0.7137014285714286)	(1.0203729992962418, 0.8818927962962962)
(1.0, 0.8663200000000001)	(1.0, 0.95724)	(1.0, 0.9468933333333333)	(1.0311191519717724, 0.9738399999999999)	(1.0, 0.9658150000000001)	(1.000597601649552, 0.769608)	(0.9060827640378292, 0.97177)	(1.0, 0.8412824999999999)	(1.0728858455177483, 0.7252385714285714)	(1.0011872625752114, 0.8908897116402117)
(1.0, 0.88664)	(1.0, 0.9758880000000001)	(1.0, 0.9421533333333334)	(0.9295414837020018, 0.9777314285714286)	(1.0, 0.96634)	(1.0, 0.776292)	(0.9121789003266395, 0.9857666666666667)	(1.0, 0.8443425000000001)	(1.0, 0.7310471428571429)	(0.9824133760031822, 0.8984667857142856)
(1.0, 0.85879)	(1.0, 0.9450080000000001)	(1.0, 0.9378866666666666)	(1.0, 0.9805942857142858)	(1.0, 0.95478)	(1.0, 0.769372)	(0.904959844488066, 0.9697433333333333)	(1.0, 0.8345199999999999)	(1.003281415773647, 0.9104899999999999)	(0.9898045844735237, 0.9067982539682539)
(1.0948875681653212, 0.86628)	(1.0, 0.981136)	(1.0, 0.94128)	(1.0, 0.9768685714285714)	(1.0, 0.97027)	(1.0073722876394902, 0.766396)	(1.0, 0.9780933333333334)	(1.0, 0.8309425)	(1.0, 0.7518742857142857)	(1.0113622062005345, 0.8959045211640212)
(1.0, 0.8449899999999999)	(1.0, 0.9286960000000001)	(1.0, 0.9175266666666666)	(1.0806812595738202, 0.7952971428571428)	(1.0, 0.9375149999999999)	(1.002057154772496, 0.752108)	(1.0, 0.95771)	(1.0, 0.8192525)	(1.0, 0.71119)	(1.0091931571495907, 0.8515872566137566)
(1.0, 0.99111)	(0.9650782409788753, 1.0852080000000002)	(0.9579777216429327, 1.0616666666666668)	(0.9314020032318788, 1.1202914285714285)	(0.9706126015977151, 1.115265)	(1.0, 0.8912279999999999)	(0.9132635423382712, 1.1303833333333333)	(1.0, 0.9619925)	(1.0, 0.84967)	(0.9709260121988526, 1.0229794365079365)
