(1.0, 0.951904)	(0.9620822181980798, 1.0379533333333335)	(1.0, 0.8885828571428572)	(1.0, 0.7724550000000001)	(1.0, 0.9432999999999999)	(1.0011646351079386, 0.8547000000000001)	(1.0394929251629934, 0.7865475000000001)	(1.0, 0.8315071428571428)	(1.0003424723086265, 0.8833687291666668)
(1.0, 0.954776)	(1.0, 0.98142)	(1.0, 0.8630285714285715)	(1.0, 0.7580549999999999)	(1.0, 0.926412)	(1.0018311230449837, 0.8634866666666666)	(1.037866111894485, 0.7770725)	(1.0, 0.8291299999999999)	(1.0049621543674334, 0.8691725922619048)
(1.0, 0.9435439999999999)	(1.0, 0.9928866666666666)	(1.0, 0.8535314285714285)	(1.0, 0.740325)	(1.0017609352652344, 0.940964)	(1.0, 0.8298366666666667)	(1.0315086006861136, 0.7878775)	(1.0, 0.8144714285714285)	(1.0041586919939185, 0.8629295863095237)
(1.0, 0.95628)	(1.0329302936909392, 0.7836066666666667)	(1.0, 0.8532514285714285)	(1.0, 0.749055)	(1.0, 0.935276)	(1.0039114237955216, 0.87722)	(1.0380339868914796, 0.7523025)	(1.0, 0.80998)	(1.0093594630472427, 0.839621449404762)
(1.0, 0.988232)	(1.0, 1.0291066666666668)	(1.0, 0.8660514285714286)	(1.0, 0.763745)	(1.0, 0.910748)	(1.0052891099154284, 0.86822)	(1.0371711936019432, 0.769055)	(1.0, 0.8130785714285714)	(1.0053075379396714, 0.8760295833333334)
